Acceleration | 0.057   | 0.049    | 1.0 W     | 9.5 J     | ✅ OK
Acceleration | 0.097   | 0.083    | 1.8 W     | 9.7 J     | ✅ OK
Acceleration | 0.138   | 0.118    | 2.5 W     | 10.0 J     | ✅ OK
Acceleration | 0.090   | 0.076    | 1.6 W     | 10.1 J     | ✅ OK
Acceleration | 0.051   | 0.044    | 0.9 W     | 10.2 J     | ✅ OK
Acceleration | 0.025   | 0.021    | 0.5 W     | 10.3 J     | ✅ OK
Acceleration | 0.012   | 0.010    | 0.2 W     | 10.3 J     | ✅ OK
Acceleration | 0.013   | 0.011    | 0.2 W     | 10.3 J     | ✅ OK
Acceleration | 0.028   | 0.023    | 0.5 W     | 10.4 J     | ✅ OK
Acceleration | 0.055   | 0.047    | 1.0 W     | 10.5 J     | ✅ OK
Acceleration | 0.095   | 0.081    | 1.7 W     | 10.6 J     | ✅ OK
Acceleration | 0.145   | 0.123    | 2.6 W     | 10.9 J     | ✅ OK
Acceleration | 0.203   | 0.173    | 3.7 W     | 11.3 J     | ✅ OK
Acceleration | 0.268   | 0.228    | 4.8 W     | 11.7 J     | ✅ OK
Acceleration | 0.336   | 0.286    | 6.0 W     | 12.3 J     | 🛡️ CLIPPED
Acceleration | 0.405   | 0.344    | 7.3 W     | 13.1 J     | 🛡️ CLIPPED
Acceleration | 0.472   | 0.401    | 8.5 W     | 13.9 J     | 🛡️ CLIPPED
Acceleration | 0.534   | 0.454    | 9.6 W     | 14.9 J     | 🛡️ CLIPPED
Acceleration | 0.549   | 0.466    | 9.9 W     | 15.9 J     | 🛡️ CLIPPED
Acceleration | 0.488   | 0.415    | 8.8 W     | 16.7 J     | 🛡️ CLIPPED
Acceleration | 0.422   | 0.358    | 7.6 W     | 17.5 J     | 🛡️ CLIPPED
Acceleration | 0.353   | 0.300    | 6.4 W     | 18.1 J     | 🛡️ CLIPPED
Acceleration | 0.284   | 0.242    | 5.1 W     | 18.7 J     | ✅ OK
Acceleration | 0.219   | 0.186    | 3.9 W     | 19.0 J     | ✅ OK
Acceleration | 0.158   | 0.135    | 2.9 W     | 19.3 J     | ✅ OK
Acceleration | 0.106   | 0.090    | 1.9 W     | 19.5 J     | ✅ OK
Acceleration | 0.064   | 0.054    | 1.1 W     | 19.6 J     | ✅ OK
Acceleration | 0.033   | 0.028    | 0.6 W     | 19.7 J     | ✅ OK
Acceleration | 0.015   | 0.013    | 0.3 W     | 19.7 J     | ✅ OK
Acceleration | 0.011   | 0.010    | 0.2 W     | 19.7 J     | ✅ OK
Acceleration | 0.021   | 0.018    | 0.4 W     | 19.8 J     | ✅ OK
Acceleration | 0.044   | 0.037    | 0.8 W     | 19.9 J     | ✅ OK
Acceleration | 0.079   | 0.067    | 1.4 W     | 20.0 J     | ✅ OK
Acceleration | 0.126   | 0.107    | 2.3 W     | 20.2 J     | ✅ OK
Acceleration | 0.109   | 0.092    | 2.0 W     | 20.4 J     | ✅ OK
Storm/Chaos  | -0.130   | -0.110    | 2.3 W     | 20.7 J     | ✅ OK
Storm/Chaos  | -0.263   | -0.224    | 4.7 W     | 21.1 J     | ✅ OK
Storm/Chaos  | -1.047   | -0.890    | 18.8 W     | 23.0 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.401   | -1.191    | 25.2 W     | 25.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.274   | -1.083    | 22.9 W     | 27.8 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.780   | -0.663    | 14.0 W     | 29.2 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.135   | -0.115    | 2.4 W     | 29.5 J     | ✅ OK
Storm/Chaos  | 0.430   | 0.366    | 7.7 W     | 30.3 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.767   | 0.652    | 13.8 W     | 31.6 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.206   | 0.175    | 3.7 W     | 32.0 J     | ✅ OK
Storm/Chaos  | -0.755   | -0.642    | 13.6 W     | 33.4 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.401   | -1.190    | 25.2 W     | 35.9 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.533   | -1.275    | 30.9 W     | 39.0 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.130   | -0.960    | 20.3 W     | 41.0 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.356   | -0.302    | 6.4 W     | 41.7 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.505   | 0.429    | 9.1 W     | 42.6 J     | 🛡️ CLIPPED
Storm/Chaos  | 1.103   | 0.938    | 19.9 W     | 44.5 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.789   | 0.671    | 14.2 W     | 46.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.285   | 0.242    | 5.1 W     | 46.5 J     | ✅ OK
Storm/Chaos  | -0.249   | -0.212    | 4.5 W     | 46.9 J     | ✅ OK
Storm/Chaos  | -0.619   | -0.526    | 11.1 W     | 48.0 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.678   | -0.576    | 12.2 W     | 49.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.400   | -0.340    | 7.2 W     | 50.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.104   | 0.088    | 1.9 W     | 50.2 J     | ✅ OK
Storm/Chaos  | 0.623   | 0.530    | 11.2 W     | 51.3 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.936   | 0.796    | 16.9 W     | 53.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.902   | 0.767    | 16.2 W     | 54.6 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.528   | 0.449    | 9.5 W     | 55.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.027   | -0.023    | 0.5 W     | 55.6 J     | ✅ OK
Storm/Chaos  | -0.510   | -0.433    | 9.2 W     | 56.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.679   | -0.578    | 12.2 W     | 57.7 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.405   | -0.345    | 7.3 W     | 58.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.448   | -0.381    | 8.1 W     | 59.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.301   | -0.256    | 5.4 W     | 59.8 J     | ✅ OK
Storm/Chaos  | -0.095   | -0.081    | 1.7 W     | 60.0 J     | ✅ OK
Storm/Chaos  | 0.037   | 0.031    | 0.7 W     | 60.1 J     | ✅ OK
Storm/Chaos  | 0.032   | 0.027    | 0.6 W     | 60.1 J     | ✅ OK
Storm/Chaos  | -0.068   | -0.058    | 1.2 W     | 60.2 J     | ✅ OK
Storm/Chaos  | -0.139   | -0.119    | 2.5 W     | 60.5 J     | ✅ OK
Storm/Chaos  | -0.534   | -0.454    | 9.6 W     | 61.4 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.204   | -1.024    | 21.7 W     | 63.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.411   | -1.199    | 25.4 W     | 66.2 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.156   | -0.982    | 20.8 W     | 68.2 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.591   | -0.502    | 10.6 W     | 69.3 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.052   | 0.044    | 0.9 W     | 69.4 J     | ✅ OK
Storm/Chaos  | 0.560   | 0.476    | 10.1 W     | 70.4 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.817   | 0.694    | 14.7 W     | 71.9 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.099   | -0.085    | 1.8 W     | 72.1 J     | ✅ OK
Storm/Chaos  | -0.994   | -0.845    | 17.9 W     | 73.8 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.499   | -1.274    | 27.0 W     | 76.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.463   | -1.244    | 26.3 W     | 79.2 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.925   | -0.786    | 16.6 W     | 80.8 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.092   | -0.078    | 1.6 W     | 81.0 J     | ✅ OK
Storm/Chaos  | 0.734   | 0.624    | 13.2 W     | 82.3 J     | 🛡️ CLIPPED
Storm/Chaos  | 1.035   | 0.880    | 18.6 W     | 84.2 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.652   | 0.554    | 11.7 W     | 85.4 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.118   | 0.101    | 2.1 W     | 85.6 J     | ✅ OK
Storm/Chaos  | -0.386   | -0.328    | 7.0 W     | 86.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.673   | -0.572    | 12.1 W     | 87.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.628   | -0.533    | 11.3 W     | 88.6 J     | 🛡️ CLIPPED
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 106.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 124.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 142.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 160.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 178.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 196.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 214.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 232.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 250.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 268.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 286.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 304.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 322.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 340.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 358.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 376.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 394.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 412.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 430.6 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 448.6 J     | 🚨 FAIL-SAFE
Recovery     | 0.209   | 0.178    | 3.8 W     | 449.0 J     | ✅ OK
Recovery     | 0.210   | 0.178    | 3.8 W     | 449.4 J     | ✅ OK
Recovery     | 0.214   | 0.182    | 3.8 W     | 449.7 J     | ✅ OK
Recovery     | 0.220   | 0.187    | 4.0 W     | 450.1 J     | ✅ OK
Recovery     | 0.228   | 0.194    | 4.1 W     | 450.6 J     | ✅ OK
